MemberID,DepartmentID,FirstName,LastName,Email,Phone,DateOfBirth,Gender,Emergency Contacts,JoiningDate
115,1,Aaron,Washington,aaron12@adventure-works.com,695-555-0117,,,,7/31/2013
116,1,Aaron,Wright,aaron52@adventure-works.com,1 (11) 500 555-0180,,,,7/31/2013
117,1,Aaron,Yang,aaron27@adventure-works.com,685-555-0147,,,,6/30/2013
118,,Aaron,Young,aaron49@adventure-works.com,911-555-0153,,,,6/30/2013
119,,Aaron,Zhang,aaron23@adventure-works.com,273-555-0153,,,,6/30/2013
120,,Abby,Arthur,abby5@adventure-works.com,1 (11) 500 555-0144,,,,7/31/2013
121,,Abby,Chandra,abby1@adventure-works.com,1 (11) 500 555-0142,,,,6/30/2013
122,,Abby,Fernandez,abby13@adventure-works.com,134-555-0119,,,,6/30/2013
123,,Abby,Garcia,abby12@adventure-works.com,1 (11) 500 555-0154,,,,7/31/2013
124,,Abby,Gonzalez,abby16@adventure-works.com,1 (11) 500 555-0177,,,,7/31/2013
125,,Abby,Kapoor,abby0@adventure-works.com,1 (11) 500 555-0189,,,,7/31/2013
126,,Abby,Kovár,abby3@adventure-works.com,1 (11) 500 555-0131,,,,6/30/2013
127,,Abby,Lopez,abby14@adventure-works.com,941-555-0140,,,,6/30/2013
128,,Abby,Madan,abby6@adventure-works.com,1 (11) 500 555-0171,,,,6/30/2013
129,,Abby,Martinez,abby15@adventure-works.com,1 (11) 500 555-0150,,,,7/31/2013
130,,Abby,Mehta,abby11@adventure-works.com,1 (11) 500 555-0118,,,,6/30/2013
131,,Abby,Patel,abby2@adventure-works.com,1 (11) 500 555-0114,,,,6/30/2013
132,,Abby,Perez,abby18@adventure-works.com,1 (11) 500 555-0186,,,,
133,,Abby,Raman,abby9@adventure-works.com,1 (11) 500 555-0189,,,,
134,,Abby,Rana,abby8@adventure-works.com,1 (11) 500 555-0147,,,,
135,,Abby,Sai,abby4@adventure-works.com,1 (11) 500 555-0174,,,,
136,,Abby,Sanchez,abby17@adventure-works.com,1 (11) 500 555-0118,,,,
137,,Abby,Sandberg,abby7@adventure-works.com,1 (11) 500 555-0148,,,,
138,,Abby,Subram,abby10@adventure-works.com,1 (11) 500 555-0187,,,,
139,,Abe,Tramel,abe0@adventure-works.com,317-555-0163,,,,1/7/2009
140,,Abhijit,Thakur,abhijit0@adventure-works.com,185-555-0194,,,,7/31/2013
141,,Abigail,Alexander,abigail44@adventure-works.com,142-555-0123,,,,7/31/2013
142,,Abigail,Anderson,abigail52@adventure-works.com,142-555-0137,,,,7/31/2013
143,6,Abigail,Bailey,abigail11@adventure-works.com,329-555-0153,,,,6/30/2013
144,,Abigail,Barnes,abigail28@adventure-works.com,431-555-0118,,,,6/30/2013
145,,Abigail,Barnes,abigail71@adventure-works.com,121-555-0184,,,,6/30/2013
146,,Abigail,Bell,abigail9@adventure-works.com,599-555-0155,,,,7/31/2013
147,,Abigail,Bennett,abigail26@adventure-works.com,978-555-0118,,,,6/30/2013
148,,Abigail,Brooks,abigail22@adventure-works.com,367-555-0138,,,,6/30/2013
149,,Abigail,Bryant,abigail43@adventure-works.com,843-555-0124,,,,7/31/2013
150,,Abigail,Butler,abigail39@adventure-works.com,358-555-0118,,,,7/31/2013
151,,Abigail,Clark,abigail60@adventure-works.com,751-555-0176,,,,7/31/2013
152,,Abigail,Coleman,abigail31@adventure-works.com,971-555-0173,,,,6/30/2013
153,,Abigail,Coleman,abigail74@adventure-works.com,464-555-0173,,,,6/30/2013
154,,Abigail,Cook,abigail7@adventure-works.com,378-555-0119,,,,6/30/2013
155,,Abigail,Cooper,abigail13@adventure-works.com,150-555-0114,,,,7/31/2013
156,,Abigail,Cox,abigail15@adventure-works.com,255-555-0148,,,,6/30/2013
157,,Abigail,Diaz,abigail1@adventure-works.com,918-555-0152,,,,6/30/2013
158,,Abigail,Diaz,abigail70@adventure-works.com,1 (11) 500 555-0123,,,,
159,,Abigail,Flores,abigail37@adventure-works.com,241-555-0174,,,,
160,,Abigail,Foster,abigail41@adventure-works.com,897-555-0167,,,,
161,,Abigail,Foster,abigail68@adventure-works.com,156-555-0118,,,,
162,,Abigail,Garcia,abigail57@adventure-works.com,1 (11) 500 555-0118,,,,
163,,Abigail,Gonzales,abigail42@adventure-works.com,737-555-0112,,,,
164,,Abigail,Gonzales,abigail69@adventure-works.com,176-555-0117,,,,1/7/2009
165,,Abigail,Gonzalez,abigail0@adventure-works.com,121-555-0139,,,,7/31/2013
166,,Abigail,Griffin,abigail46@adventure-works.com,1 (11) 500 555-0191,,,,7/31/2013
167,,Abigail,Harris,abigail54@adventure-works.com,364-555-0127,,,,7/31/2013
168,,Abigail,Henderson,abigail30@adventure-works.com,237-555-0174,,,,6/30/2013
169,,Abigail,Henderson,abigail73@adventure-works.com,1 (11) 500 555-0133,,,,6/30/2013
170,6,Abigail,Howard,abigail16@adventure-works.com,197-555-0113,,,,6/30/2013
171,,Abigail,Hughes,abigail36@adventure-works.com,419-555-0196,,,,7/31/2013
172,,Abigail,Hughes,abigail66@adventure-works.com,341-555-0115,,,,6/30/2013
173,,Abigail,James,abigail21@adventure-works.com,892-555-0190,,,,6/30/2013
174,,Abigail,Jenkins,abigail32@adventure-works.com,135-555-0132,,,,7/31/2013
175,,Abigail,Johnson,abigail48@adventure-works.com,779-555-0116,,,,7/31/2013
176,6,Abigail,Jones,abigail50@adventure-works.com,889-555-0151,,,,7/31/2013
177,,Abigail,Kelly,abigail23@adventure-works.com,137-555-0115,,,,6/30/2013
178,,Abigail,Lewis,abigail62@adventure-works.com,455-555-0152,,,,6/30/2013
179,,Abigail,Long,abigail34@adventure-works.com,697-555-0185,,,,6/30/2013
180,,Abigail,Long,abigail64@adventure-works.com,485-555-0122,,,,7/31/2013
181,,Abigail,Martin,abigail55@adventure-works.com,896-555-0194,,,,6/30/2013
182,,Abigail,Martinez,abigail58@adventure-works.com,925-555-0112,,,,6/30/2013
183,,Abigail,Miller,abigail51@adventure-works.com,698-555-0175,,,,8/6/2011
184,,Abigail,Morgan,abigail8@adventure-works.com,862-555-0137,,,,5/18/2013
185,,Abigail,Morris,abigail4@adventure-works.com,924-555-0180,,,,3/13/2014
186,,Abigail,Murphy,abigail10@adventure-works.com,386-555-0151,,,,11/3/2013
187,,Abigail,Patterson,abigail35@adventure-works.com,209-555-0125,,,,12/21/2013
188,,Abigail,Patterson,abigail65@adventure-works.com,132-555-0110,,,,2/16/2013
189,,Abigail,Perry,abigail75@adventure-works.com,487-555-0186,,,,4/25/2012
190,,Abigail,Peterson,abigail19@adventure-works.com,751-555-0198,,,,11/10/2013
191,,Abigail,Powell,abigail33@adventure-works.com,131-555-0151,,,,1/26/2014
192,6,Abigail,Price,abigail25@adventure-works.com,532-555-0117,,,,6/1/2012
193,,Abigail,Ramirez,abigail20@adventure-works.com,807-555-0134,,,,4/10/2014
194,,Abigail,Reed,abigail6@adventure-works.com,662-555-0145,,,,12/21/2013
195,,Abigail,Richardson,abigail14@adventure-works.com,1 (11) 500 555-0149,,,,2/22/2014
196,,Abigail,Rivera,abigail12@adventure-works.com,1 (11) 500 555-0163,,,,12/26/2013
197,,Abigail,Robinson,abigail59@adventure-works.com,171-555-0162,,,,1/9/2014
198,,Abigail,Rodriguez,abigail61@adventure-works.com,771-555-0162,,,,10/28/2013
199,,Abigail,Rogers,abigail5@adventure-works.com,329-555-0186,,,,1/27/2013
200,,Abigail,Ross,abigail29@adventure-works.com,1 (11) 500 555-0196,,,,11/27/2013
201,,Abigail,Ross,abigail72@adventure-works.com,264-555-0199,,,,9/17/2013
202,,Abigail,Russell,abigail45@adventure-works.com,1 (11) 500 555-0149,,,,7/1/2013
203,,Abigail,Sanchez,abigail3@adventure-works.com,808-555-0111,,,,8/1/2013
204,,Abigail,Sanders,abigail24@adventure-works.com,190-555-0122,,,,3/23/2014
205,,Abigail,Simmons,abigail40@adventure-works.com,887-555-0122,,,,7/19/2013
206,,Abigail,Simmons,abigail67@adventure-works.com,419-555-0131,,,,10/28/2013
207,,Abigail,Smith,abigail47@adventure-works.com,692-555-0110,,,,9/13/2013
208,,Abigail,Stewart,abigail2@adventure-works.com,110-555-0153,,,,1/24/2014
209,,Abigail,Thompson,abigail56@adventure-works.com,792-555-0194,,,,9/4/2013
210,,Abigail,Torres,abigail18@adventure-works.com,540-555-0193,,,,9/8/2013
211,,Abigail,Walker,abigail63@adventure-works.com,918-555-0180,,,,12/21/2013
212,,Abigail,Ward,abigail17@adventure-works.com,546-555-0116,,,,2/1/2014
213,,Abigail,Washington,abigail38@adventure-works.com,1 (11) 500 555-0162,,,,7/1/2013
214,,Abigail,White,abigail53@adventure-works.com,215-555-0122,,,,4/8/2014
215,,Abigail,Williams,abigail49@adventure-works.com,1 (11) 500 555-0175,,,,2/20/2014
216,,Abigail,Wood,abigail27@adventure-works.com,587-555-0126,,,,3/11/2014
217,,Abraham,Swearengin,abraham0@adventure-works.com,926-555-0136,,,,10/13/2012
218,,Adam,Adams,adam46@adventure-works.com,129-555-0195,,,,9/13/2013
219,,Adam,Allen,adam52@adventure-works.com,252-555-0173,,,,11/22/2013
220,,Adam,Baker,adam38@adventure-works.com,1 (11) 500 555-0118,,,,12/8/2013
221,,Adam,Barr,adam0@adventure-works.com,726-555-0191,,,,12/21/2013
222,,Adam,Bryant,adam15@adventure-works.com,602-555-0178,,,,11/13/2013
223,,Adam,Butler,adam12@adventure-works.com,1 (11) 500 555-0118,,,,12/21/2013
224,,Adam,Campbell,adam37@adventure-works.com,418-555-0138,,,,7/6/2012
225,,Adam,Chen,adam22@adventure-works.com,624-555-0118,,,,8/31/2013
226,,Adam,Collins,adam32@adventure-works.com,502-555-0184,,,,6/30/2013
227,,Adam,Diaz,adam18@adventure-works.com,1 (11) 500 555-0113,,,,4/4/2014
228,,Adam,Edwards,adam31@adventure-works.com,676-555-0134,,,,12/21/2013
229,,Adam,Evans,adam30@adventure-works.com,1 (11) 500 555-0125,,,,1/6/2012
230,,Adam,Flores,adam10@adventure-works.com,1 (11) 500 555-0163,,,,9/1/2013
231,,Adam,Gonzales,adam14@adventure-works.com,128-555-0129,,,,8/4/2013
232,,Adam,Gonzalez,adam39@adventure-works.com,136-555-0124,,,,12/13/2013
233,,Adam,Green,adam45@adventure-works.com,464-555-0196,,,,12/21/2013
234,6,Adam,Griffin,adam17@adventure-works.com,531-555-0124,,,,5/15/2014
235,,Adam,Hall,adam51@adventure-works.com,1 (11) 500 555-0110,,,,6/15/2012
236,,Adam,Hayes,adam19@adventure-works.com,1 (11) 500 555-0119,,,,8/3/2013
237,,Adam,Henderson,adam3@adventure-works.com,200-555-0144,,,,1/28/2014
238,,Adam,Hernandez,adam47@adventure-works.com,678-555-0162,,,,2/24/2014
239,,Adam,Hill,adam43@adventure-works.com,1 (11) 500 555-0163,,,,3/18/2014
240,,Adam,Hughes,adam9@adventure-works.com,1 (11) 500 555-0186,,,,9/18/2013
241,,Adam,Jai,adam28@adventure-works.com,481-555-0111,,,,8/30/2013
242,,Adam,Jenkins,adam4@adventure-works.com,1 (11) 500 555-0164,,,,3/10/2014
243,,Adam,King,adam49@adventure-works.com,1 (11) 500 555-0160,,,,11/16/2011
244,,Adam,Kumar,adam24@adventure-works.com,592-555-0113,,,,11/10/2011
245,,Adam,Lal,adam25@adventure-works.com,513-555-0110,,,,1/14/2014
246,,Adam,Li,adam23@adventure-works.com,497-555-0140,,,,12/21/2013
247,,Adam,Long,adam7@adventure-works.com,954-555-0118,,,,6/19/2013
248,,Adam,Lopez,adam42@adventure-works.com,740-555-0165,,,,10/6/2012
249,,Adam,Mitchell,adam41@adventure-works.com,126-555-0119,,,,12/21/2013
250,,Adam,Nelson,adam40@adventure-works.com,680-555-0153,,,,2/8/2013
251,,Adam,Parker,adam29@adventure-works.com,808-555-0157,,,,3/26/2013
252,,Adam,Patterson,adam8@adventure-works.com,611-555-0183,,,,12/21/2013
253,,Adam,Perez,adam33@adventure-works.com,1 (11) 500 555-0183,,,,2/10/2014
254,,Adam,Perry,adam5@adventure-works.com,274-555-0149,,,,7/30/2013
255,,Adam,Phillips,adam36@adventure-works.com,114-555-0113,,,,8/8/2011
256,,Adam,Powell,adam6@adventure-works.com,1 (11) 500 555-0110,,,,12/21/2013
257,,Adam,Reynolds,adam1@adventure-works.com,574-555-0100,,,,12/8/2013
258,,Adam,Roberts,adam34@adventure-works.com,868-555-0122,,,,4/29/2014
259,4,Adam,Ross,adam2@adventure-works.com,1 (11) 500 555-0186,,,,5/12/2014
260,4,Adam,Russell,adam16@adventure-works.com,809-555-0150,,,,8/17/2013
261,4,Adam,Scott,adam44@adventure-works.com,645-555-0141,,,,1/15/2013
262,,Adam,Shan,adam27@adventure-works.com,1 (11) 500 555-0185,,,,12/21/2013
263,,Adam,Sharma,adam26@adventure-works.com,385-555-0155,,,,12/21/2013
264,,Adam,Simmons,adam13@adventure-works.com,504-555-0140,,,,7/3/2012
265,,Adam,Turner,adam35@adventure-works.com,222-555-0116,,,,8/4/2013
266,,Adam,Wang,adam21@adventure-works.com,553-555-0117,,,,12/29/2013
267,,Adam,Washington,adam11@adventure-works.com,796-555-0118,,,,8/24/2013
268,,Adam,Wright,adam50@adventure-works.com,267-555-0111,,,,7/22/2013
269,,Adam,Young,adam48@adventure-works.com,156-555-0183,,,,8/6/2011
270,,Adam,Zhang,adam20@adventure-works.com,988-555-0176,,,,5/18/2013
271,,Adina,Hagege,adina0@adventure-works.com,609-555-0100,,,,3/13/2014
272,,Adrian,Bailey,adrian16@adventure-works.com,299-555-0129,,,,11/3/2013
273,,Adrian,Bell,adrian15@adventure-works.com,254-555-0175,,,,12/21/2013
274,,Adrian,Brooks,adrian3@adventure-works.com,540-555-0198,,,,2/16/2013
275,,Adrian,Cook,adrian20@adventure-works.com,117-555-0111,,,,4/25/2012
276,,Adrian,Cooper,adrian10@adventure-works.com,478-555-0132,,,,11/10/2013
277,1,Adrian,Cox,adrian12@adventure-works.com,111-555-0171,,,,1/26/2014
278,1,Adrian,Dumitrascu,adrian0@adventure-works.com,362-555-0121,,,,6/1/2012
279,1,Adrian,Gray,adrian8@adventure-works.com,379-555-0152,,,,4/10/2014
280,1,Adrian,Howard,adrian13@adventure-works.com,341-555-0183,,,,12/21/2013
281,1,Adrian,James,adrian1@adventure-works.com,156-555-0142,,,,2/22/2014
282,1,Adrian,Morgan,adrian14@adventure-works.com,473-555-0113,,,,12/26/2013
283,1,Adrian,Morris,adrian19@adventure-works.com,1 (11) 500 555-0146,,,,1/9/2014
284,1,Adrian,Peterson,adrian7@adventure-works.com,362-555-0181,,,,10/28/2013
285,1,Adrian,Ramirez,adrian9@adventure-works.com,728-555-0143,,,,1/27/2013
286,1,Adrian,Richardson,adrian11@adventure-works.com,408-555-0120,,,,11/27/2013
287,1,Adrian,Rivera,adrian17@adventure-works.com,383-555-0116,,,,9/17/2013
288,1,Adrian,Sanchez,adrian18@adventure-works.com,487-555-0144,,,,7/1/2013
289,1,Adrian,Sanders,adrian4@adventure-works.com,1 (11) 500 555-0139,,,,8/1/2013
290,1,Adrian,Stewart,adrian21@adventure-works.com,812-555-0122,,,,3/23/2014
291,1,Adrian,Torres,adrian6@adventure-works.com,113-555-0170,,,,7/19/2013
292,,Adrian,Ward,adrian5@adventure-works.com,731-555-0128,,,,10/28/2013
293,,Adrian,Watson,adrian2@adventure-works.com,1 (11) 500 555-0143,,,,9/13/2013
294,,Adriana,Arthur,adriana7@adventure-works.com,1 (11) 500 555-0191,,,,1/24/2014
295,,Adriana,Chandra,adriana2@adventure-works.com,1 (11) 500 555-0119,,,,9/4/2013
296,,Adriana,Garcia,adriana16@adventure-works.com,118-555-0175,,,,9/8/2013
297,,Adriana,Gonzalez,adriana19@adventure-works.com,1 (11) 500 555-0129,,,,12/21/2013
298,,Adriana,Kapoor,adriana1@adventure-works.com,1 (11) 500 555-0119,,,,2/1/2014
299,,Adriana,Lopez,adriana17@adventure-works.com,1 (11) 500 555-0120,,,,7/1/2013
300,,Adriana,Madan,adriana8@adventure-works.com,1 (11) 500 555-0126,,,,4/8/2014
301,,Adriana,Malhotra,adriana5@adventure-works.com,911-555-0122,,,,2/20/2014
302,,Adriana,Martinez,adriana18@adventure-works.com,1 (11) 500 555-0176,,,,3/11/2014
303,,Adriana,Mehta,adriana15@adventure-works.com,1 (11) 500 555-0116,,,,10/13/2012
